Width,Height,Type,Merging Num,Avg Intensity of Defect,Angle of Min Box,Area of Defect,Area of Min Box,Border Pixel,Compactness,AR (Aspect Ratio) of Box,AR of Min Box,Rectangularity,Dispersion,Label
14,9,1,0,41.4242,-30.2564,33,66.6839,28,0.0421,1.5556,3.0462,0.4949,32.5298,1
9,3,1,0,38,-75.9638,16,15.5294,15,0.0711,3,4.125,1.0303,8.0498,1
3,3,1,0,42.2,-45,5,3,5,0.2,1,1.5,1.6667,5.7184,1
2,4,1,0,40.8333,0,6,3,6,0.1667,2,3,2,6.3692,1
2,5,1,0,41.8889,-90,9,4,9,0.1111,2.5,4,2.25,17.5388,0
3,4,1,0,50.8333,-33.6901,6,4,6,0.1667,1.3333,3.25,1.5,7.3326,0
8,9,1,1,43.0769,-51.3402,13,27.3415,13,0.0769,1.125,3.1053,0.4755,19.5468,0
28,25,1,0,58.2962,-26.5651,341,601.7999,89,0.0431,1.12,1.1569,0.5666,25.9909,1
11,22,1,0,67.3923,-75.0686,130,196.0581,53,0.0463,2,2.1,0.6631,32.6811,0
8,9,1,0,35.4545,-90,55,56,24,0.0955,1.125,1.1429,0.9821,7.1746,1
3,4,1,0,49.4444,-90,9,6,8,0.1406,1.3333,1.5,1.5,5.5703,0
4,2,1,0,39.8333,-90,6,3,6,0.1667,2,3,2,7.4409,0
4,4,1,0,37.7,-45,10,7.5,8,0.1563,1,1.6667,1.3333,3.8312,1
7,4,1,0,44.1,-90,20,18,14,0.102,1.75,2,1.1111,7.6496,1
15,15,1,1,34.6818,-40.2364,22,67.3448,20,0.055,1,4.9206,0.3267,5.4979,1
26,11,1,0,55.495,-86.6335,101,228.7586,57,0.0311,2.3636,2.7613,0.4415,23.2425,1
4,7,1,0,52.25,-14.0362,16,16.1765,13,0.0947,1.75,2.2727,0.9891,10.0764,1
3,4,1,0,37.875,-63.435,8,6,7,0.1633,1.3333,1.2,1.3333,3.7961,0
17,18,1,0,52.3203,-52.4314,153,210.4164,49,0.0637,1.0588,1.7088,0.7271,18.449,1
8,8,1,0,34.8235,-45,34,45,22,0.0702,1,1.1111,0.7556,4.9388,1
4,3,1,0,46,-18.4349,8,5.5,8,0.125,1.3333,2.2,1.4545,5.831,1
5,25,1,0,81.4694,0,49,96,45,0.0242,5,6,0.5104,31.6544,0
4,5,1,0,43.1333,-90,15,12,11,0.124,1.25,1.3333,1.25,7.11,1
22,14,1,0,75.1639,-55.008,122,220.7584,55,0.0403,1.5714,2.0394,0.5526,47.1643,1
4,7,1,0,37.8333,0,18,18,14,0.0918,1.75,2,1,4.0183,0
23,17,1,0,74.3833,-85.2364,180,344.738,62,0.0468,1.3529,1.342,0.5221,16.7193,1
8,11,1,0,34.2642,-23.1986,53,65.0345,24,0.092,1.375,1.7826,0.815,2.9881,1
3,4,1,0,38.1429,-63.435,7,5.6,7,0.1429,1.3333,1.75,1.25,5.0474,0
2,3,1,0,34.2,-90,5,2,5,0.2,1.5,2,2.5,3.0332,0
5,6,1,0,53.4375,-36.8699,16,15.6,12,0.1111,1.2,1.7333,1.0256,11.6617,1
2,4,1,0,29,-90,7,3,7,0.1429,2,3,2.3333,0.8165,1
5,7,1,0,32.3684,-45,19,18,15,0.0844,1.4,2.25,1.0556,6.635,1
3,4,1,0,34.7143,-45,7,4,6,0.1944,1.3333,2,1.75,1.3801,1
4,5,1,0,45.875,-36.8699,8,6,8,0.125,1.25,4.1667,1.3333,7.4342,0
6,5,1,0,59.1176,-33.6901,17,15.9231,13,0.1006,1.2,2.5556,1.0676,14.465,1
4,5,1,0,34.2,-90,15,12,12,0.1042,1.25,1.3333,1.25,4.1438,1
7,11,1,0,67.4815,-18.4349,27,47.6,26,0.0399,1.5714,2.4286,0.5672,36.1645,1
4,4,1,0,46.25,-90,12,9,10,0.12,1,1,1.3333,7.7357,1
12,7,1,0,54.375,-66.0375,24,39.2577,22,0.0496,1.7143,3.7188,0.6113,22.7936,1
8,9,1,1,49.2667,-49.3987,15,21.9059,14,0.0765,1.125,5.1579,0.6847,11.5725,0
4,3,1,0,50.7778,-90,9,6,8,0.1406,1.3333,1.5,1.5,9.1211,0
7,14,1,0,49.2553,-71.565,47,61.6,31,0.0489,2,3.1429,0.763,21.5179,1
13,16,1,0,50.3381,-78.6901,139,159.3846,41,0.0827,1.2308,1.3214,0.8721,11.2511,1
4,11,1,0,42.8,-84.2894,20,26,17,0.0692,2.75,3.8846,0.7692,10.3191,0
